,key_fangraphs,2024,SimplePosition,S2
0,12861,$38.57 ,Batter,FALSE
1,10155,$37.12 ,Batter,FALSE
2,19755,FA,Starter,FALSE
3,12880,$13.00 ,Starter,FALSE
4,15464,FA,Batter,FALSE
5,11615,$8.50 ,Batter,FALSE
6,10681,FA,Batter,FALSE
7,1890,FA,Starter,FALSE
8,10343,$2.00 ,Reliever,FALSE
9,10059,$7.00 ,Batter,FALSE
10,10291,FA,Reliever,FALSE
11,14542,$6.75 ,Reliever,FALSE
12,17992,$6.00 ,Batter,FALSE
13,19447,A2,Starter,TRUE
14,17548,A2,Batter,TRUE
15,18607,A2,Batter,FALSE
16,19858,A2,Batter,FALSE
17,13329,FA,Batter,FALSE
18,14735,A2,Batter,FALSE
19,18356,A2,Reliever,FALSE
20,19867,A2,Reliever,FALSE
21,17556,A1,Reliever,FALSE
22,19200,A1,Reliever,FALSE
23,19911,A1,Starter,FALSE
24,19871,,Reliever,FALSE
25,27468,,Starter,FALSE
26,22310,,Reliever,FALSE
27,19318,,Batter,FALSE
28,24933,,Reliever,FALSE
29,27582,,Reliever,FALSE
30,21761,,Reliever,FALSE
31,24729,,Batter,FALSE
32,20220,A1,Batter,TRUE
33,19784,,Reliever,FALSE
34,26068,,Reliever,FALSE
35,19956,,Batter,FALSE
36,30074,,Reliever,FALSE
37,22100,,Reliever,FALSE
38,22471,,Batter,FALSE
39,25353,,Batter,FALSE
40,14196,A1,Batter,FALSE
41,15444,,Reliever,FALSE
42,12856,$24.17 ,Batter,FALSE
43,14107,$24.00 ,Starter,FALSE
44,14444,FA,Starter,FALSE
45,12304,$22.00 ,Starter,FALSE
46,14168,$18.00 ,Starter,FALSE
47,19611,A3,Batter,TRUE
48,16505,FA,Batter,FALSE
49,20633,$10.00 ,Starter,FALSE
50,10264,FA,Batter,FALSE
51,11038,FA,Batter,FALSE
52,11281,$0.50 ,Batter,FALSE
53,12095,$1.00 ,Reliever,FALSE
54,16122,A2,Reliever,FALSE
55,19612,$12.08 ,Batter,FALSE
56,16535,A3,Batter,FALSE
57,15288,FA,Reliever,FALSE
58,19918,A2,Batter,TRUE
