yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2022,WAS,NL,abbotco01,16,9,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2022,SDN,NL,abramcj01,46,35,46,44,0,0,0,13,0,32,0,0,3,3,2,3,2
2022,WAS,NL,abramcj01,44,43,44,43,0,0,0,0,0,43,0,0,0,0,0,0,1
2022,KCA,AL,abreual01,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2022,NYA,AL,abreual01,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0
2022,TEX,AL,abreual01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2022,HOU,AL,abreubr01,55,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0
2022,CHA,AL,abreujo02,157,157,157,128,0,0,128,0,0,0,0,0,0,0,29,0,0
2022,OAK,AL,acevedo01,70,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0
2022,ATL,NL,acunaro01,119,115,119,92,0,0,0,0,0,0,0,1,92,92,27,4,0
2022,MIL,NL,adamewi01,139,138,139,136,0,0,0,0,0,136,0,0,0,0,2,1,0
2022,TBA,AL,adamja01,67,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2022,SDN,NL,adamsau02,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2022,WAS,NL,adamsri03,48,43,48,45,0,44,1,0,0,0,0,0,0,0,2,3,0
2022,LAA,AL,adelljo01,88,71,88,84,0,0,0,0,0,0,69,0,15,84,1,13,1
2022,WAS,NL,adonjo01,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2022,ATL,NL,adriaeh01,6,4,6,6,0,0,0,4,1,1,0,0,0,0,0,0,0
2022,WAS,NL,adriaeh01,31,22,31,27,1,0,0,4,18,2,9,0,0,9,1,5,0
2022,BAL,AL,aguilje01,16,12,16,6,0,0,6,0,0,0,0,0,0,0,8,3,0
2022,MIA,NL,aguilje01,113,106,113,59,0,0,57,0,4,0,0,0,0,0,52,7,0
2022,LAA,AL,aguilry01,7,6,7,7,0,0,1,0,0,0,2,1,5,7,0,0,0
2022,ARI,NL,ahmedni01,17,15,17,16,0,0,0,0,0,16,0,0,0,0,1,2,0
2022,BAL,AL,akinke01,45,1,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2022,LAN,NL,alberha01,73,38,73,66,10,0,3,37,20,5,0,0,1,1,5,17,1
2022,ATL,NL,albieoz01,64,63,64,64,0,0,0,64,0,0,0,0,0,0,0,1,0
2022,MIN,AL,alcaljo01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2022,MIA,NL,alcansa01,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2022,ARI,NL,alcanse01,71,49,71,65,0,0,0,18,35,20,0,0,0,0,4,3,7
2022,SDN,NL,alcanse01,22,8,22,21,0,0,0,7,6,8,0,0,0,0,1,1,3
2022,MIL,NL,alexaja01,18,11,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2022,SFN,NL,alexasc01,17,4,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2022,DET,AL,alexaty01,27,17,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
