,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
0,verlander,justin,434378,verlj001,verlaju01,8700,2005.0,2023.0
1,scherzer,max,453286,schem001,scherma01,3137,2008.0,2023.0
2,judge,aaron,592450,judga001,judgeaa01,15640,2016.0,2023.0
3,rendon,anthony,543685,renda001,rendoan01,12861,2013.0,2023.0
4,trout,mike,545361,troum001,troutmi01,10155,2011.0,2023.0
5,cole,gerrit,543037,coleg001,colege01,13125,2013.0,2023.0
6,seager,corey,608369,seagc001,seageco01,13624,2015.0,2023.0
7,correa,carlos,621043,corrc001,correca01,14162,2015.0,2023.0
8,arenado,nolan,571448,arenn001,arenano01,9777,2013.0,2023.0
9,strasburg,stephen,544931,stras001,strasst01,10131,2010.0,2022.0
10,lindor,francisco,596019,lindf001,lindofr01,12916,2015.0,2023.0
11,cabrera,miguel,408234,cabrm001,cabremi01,1744,2003.0,2023.0
12,stanton,giancarlo,519317,stanm004,stantmi03,4949,2010.0,2023.0
13,bregman,alex,608324,brega001,bregmal01,17678,2016.0,2023.0
14,degrom,jacob,594798,degrj001,degroja01,10954,2014.0,2023.0
15,ohtani,shohei,660271,ohtas001,ohtansh01,19755,2018.0,2023.0
16,altuve,josé,514888,altuj001,altuvjo01,5417,2011.0,2023.0
17,bryant,kris,592178,bryak001,bryankr01,15429,2015.0,2023.0
18,harper,bryce,547180,harpb003,harpebr03,11579,2012.0,2023.0
19,turner,trea,607208,turnt001,turnetr01,16252,2015.0,2023.0
20,semien,marcus,543760,semim001,semiema01,12533,2013.0,2023.0
21,bogaerts,xander,593428,bogax001,bogaexa01,12161,2013.0,2023.0
22,goldschmidt,paul,502671,goldp001,goldspa01,9218,2011.0,2023.0
23,freeman,freddie,518692,freef001,freemfr01,5361,2010.0,2023.0
24,votto,joey,458015,vottj001,vottojo01,4314,2007.0,2023.0
25,darvish,yu,506433,darvy001,darviyu01,13074,2012.0,2023.0
26,stroman,marcus,573186,strom001,stromma01,13431,2014.0,2023.0
27,wheeler,zack,554430,wheez001,wheelza01,10310,2013.0,2023.0
28,corbin,patrick,571578,corbp001,corbipa01,9323,2012.0,2023.0
29,yelich,christian,592885,yelic001,yelicch01,11477,2013.0,2023.0
30,springer,george,543807,sprig001,springe01,12856,2014.0,2023.0
31,realmuto,j. t.,592663,realj001,realmjt01,11739,2014.0,2023.0
32,soto,juan,665742,sotoj001,sotoju01,20123,2018.0,2023.0
33,rodón,carlos,607074,rodoc001,rodonca01,16137,2015.0,2023.0
34,heyward,jason,518792,heywj001,heywaja01,4940,2010.0,2023.0
35,báez,javier,595879,baezj001,baezja01,12979,2014.0,2023.0
36,bumgarner,madison,518516,bumgm001,bumgama01,5524,2009.0,2023.0
