,IDfg,Name,Age,G,IP,WAR,name_last,name_first,key_bbref,mlb_played_first,2023,shortName,2024,S2,2024Est,Selectable,Position_Starter,Position_Reliever
0,16149,Aaron Nola,28,32,205.0,6.3,nola,aaron,nolaaa01,2015.0,16250000.0,Philadelphia,FA,False,0.0,True,True,False
1,16137,Carlos Rodon,28,31,178.0,6.2,rodón,carlos,rodonca01,2015.0,22833333.0,NY Yankees,$27.833,False,27833000.0,True,True,False
2,8700,Justin Verlander,38,28,175.0,6.0,verlander,justin,verlaju01,2005.0,43333333.0,NY Mets,$43.333,False,43333000.0,True,True,False
3,18684,Sandy Alcantara,25,32,228.2,5.8,alcántara,sandy,alcansa01,2017.0,6300000.0,Miami,$9.300,False,9300000.0,True,True,False
4,14107,Kevin Gausman,30,31,174.2,5.7,gausman,kevin,gausmke01,2013.0,21000000.0,Toronto,$24.000,False,24000000.0,True,True,False
5,19755,Shohei Ohtani,26,28,166.0,5.6,ohtani,shohei,ohtansh01,2018.0,30000000.0,LA Angels,FA,False,0.0,True,True,False
6,13743,Max Fried,27,30,185.1,5.0,fried,max,friedma01,2017.0,13500000.0,Atlanta,A4,True,20120000.0,True,True,False
7,27498,Spencer Strider,22,31,131.2,4.9,strider,spencer,stridsp01,2021.0,1000000.0,Atlanta,$1.000,False,1000000.0,False,True,False
8,19427,Shane Bieber,26,31,200.0,4.8,bieber,shane,biebesh01,2018.0,10010000.0,Cleveland,A3,False,16752000.0,True,True,False
9,19361,Corbin Burnes,26,33,202.0,4.6,burnes,corbin,burneco01,2018.0,10010000.0,Milwaukee,A3,False,16083999.999999998,True,True,False
10,17295,Framber Valdez,27,31,201.1,4.4,valdez,framber,valdefr01,2018.0,6800000.0,Houston,A3,True,13788000.000000002,True,True,False
11,18525,Dylan Cease,25,32,184.0,4.4,cease,dylan,ceasedy01,2019.0,5700000.0,Chi White Sox,A2,False,11060000.000000002,True,True,False
12,3137,Max Scherzer,36,23,145.1,4.4,scherzer,max,scherma01,2008.0,43333333.0,NY Mets,$43.333,False,43333000.0,True,True,False
13,17995,Logan Webb,24,32,192.1,4.2,webb,logan,webblo01,2019.0,4600000.0,San Francisco,A2,False,10590000.000000002,True,True,False
14,19291,Zac Gallen,25,31,184.0,4.2,gallen,zac,galleza01,2019.0,5600000.0,Arizona,A2,False,10590000.000000002,True,True,False
15,10310,Zack Wheeler,31,26,153.0,4.2,wheeler,zack,wheelza01,2013.0,24500000.0,Philadelphia,$23.500,False,23500000.0,True,True,False
16,26410,Alek Manoah,23,31,196.2,4.1,manoah,alek,manoaal01,2021.0,745650.0,Toronto,A1,True,5271000.0,False,True,False
17,13074,Yu Darvish,34,30,194.2,4.1,darvish,yu,darviyu01,2012.0,25000000.0,San Diego,$16.000,False,16000000.0,True,True,False
18,12880,Tyler Anderson,31,30,178.2,4.0,anderson,tyler,anderty01,2016.0,13000000.0,LA Angels,$13.000,False,13000000.0,True,True,False
19,11423,Jose Quintana,32,32,165.2,4.0,quintana,josé,quintjo01,2012.0,13000000.0,NY Mets,$13.000,False,13000000.0,True,True,False
20,2036,Clayton Kershaw,33,22,126.1,3.8,kershaw,clayton,kershcl01,2008.0,20000000.0,LA Dodgers,FA,False,0.0,True,True,False
21,6562,Alex Cobb,33,28,149.2,3.7,cobb,alex,cobbal01,2011.0,9000000.0,San Francisco,$2.000,False,2000000.0,True,True,False
22,19447,Patrick Sandoval,24,27,148.2,3.7,sandoval,patrick,sandopa02,2019.0,2750000.0,LA Angels,A2,True,8009000.000000001,True,True,False
23,16162,Brandon Woodruff,28,27,153.1,3.6,woodruff,brandon,woodrbr01,2017.0,10800000.0,Milwaukee,A4,True,14688000.0,True,True,False
24,17874,Nestor Cortes,26,28,158.1,3.6,cortés,néstor,cortene01,2018.0,3200000.0,NY Yankees,A2,False,9180000.0,True,True,False
25,13543,Blake Snell,28,24,128.0,3.6,snell,blake,snellbl01,2016.0,16600000.0,San Diego,FA,False,0.0,True,True,False
26,21483,Shane McClanahan,24,28,166.1,3.5,mcclanahan,shane,mcclash01,2021.0,737000.0,Tampa Bay,A1,True,4605000.0,False,True,False
27,18000,Triston McKenzie,23,31,191.1,3.4,mckenzie,triston,mckentr01,2020.0,739500.0,Cleveland,A1,False,5411999.999999999,False,True,False
28,12970,Joe Musgrove,28,30,181.0,3.4,musgrove,joe,musgrjo01,2016.0,20000000.0,San Diego,$20.000,False,20000000.0,True,True,False
29,13125,Gerrit Cole,30,33,200.2,3.3,cole,gerrit,colege01,2013.0,36000000.0,NY Yankees,$36.000,False,36000000.0,True,True,False
30,17606,Cristian Javier,24,30,148.2,3.3,javier,cristian,javiecr01,2020.0,3400000.0,Houston,$7.400,False,7400000.0,False,True,False
31,14765,Julio Urias,24,31,175.0,3.2,urías,julio,uriasju01,2016.0,14250000.0,LA Dodgers,FA,False,0.0,True,True,False
32,11156,Merrill Kelly,32,33,200.1,3.2,kelly,merrill,kellyme01,2019.0,8500000.0,Arizona,$8.500,False,8500000.0,True,True,False
33,22250,Logan Gilbert,24,32,185.2,3.1,gilbert,logan,gilbelo01,2021.0,767300.0,Seattle,A1,True,4161000.0000000005,False,True,False
34,13273,Ross Stripling,31,32,134.1,3.1,stripling,ross,stripro01,2016.0,12500000.0,San Francisco,$12.500,False,12500000.0,True,True,False
35,2429,Corey Kluber,35,31,164.0,3.0,kluber,corey,klubeco01,2011.0,10000000.0,Boston,opt,False,720000.0,True,True,False
36,17677,Jeffrey Springs,28,33,135.1,3.0,springs,jeffrey,sprinje01,2018.0,4000000.0,Tampa Bay,$5.250,False,5250000.0,True,True,False
37,25436,George Kirby,23,25,130.0,3.0,kirby,george,kirbyge01,2022.0,758300.0,Seattle,,False,0.0,False,True,False
38,14710,Edwin Diaz,27,61,62.0,3.0,díaz,edwin,diazed04,2016.0,18640000.0,NY Mets,$18.640,False,18640000.0,True,False,True
39,19665,Kyle Wright,25,30,180.1,2.9,wright,kyle,wrighky01,2018.0,750000.0,Atlanta,A1,False,4722000.0,True,True,False
40,2233,Adam Wainwright,39,32,191.2,2.9,wainwright,adam,wainwad01,2005.0,14521720.0,St. Louis,FA,False,0.0,True,True,False
41,25377,Brady Singer,24,27,153.1,2.9,singer,brady,singebr01,2020.0,2950000.0,Kansas City,A2,True,6433000.0,False,True,False
42,17085,Pablo Lopez,25,32,180.0,2.9,lópez,pablo,lopezpa01,2018.0,5450000.0,Minnesota,A3,False,10406000.0,True,True,False
43,22267,Tarik Skubal,24,21,117.2,2.9,skubal,tarik,skubata01,2020.0,743700.0,Detroit,A1,False,5911000.0,False,False,True
44,12304,Chris Bassitt,32,30,181.2,2.8,bassitt,chris,bassich01,2014.0,19000000.0,Toronto,$22.000,False,22000000.0,True,True,False
45,9803,Miles Mikolas,32,33,202.1,2.8,mikolas,miles,mikolmi01,2012.0,21666667.0,St. Louis,$17.667,False,17667000.0,True,True,False
46,19388,Tony Gonsolin,27,24,130.1,2.7,gonsolin,tony,gonsoto01,2019.0,3250000.0,LA Dodgers,$3.400,True,3400000.0,True,True,False
47,16511,Jordan Montgomery,28,32,178.1,2.7,montgomery,jordan,montgjo01,2017.0,10000000.0,St. Louis,FA,False,0.0,True,True,False
48,11836,Taijuan Walker,28,29,157.1,2.6,walker,taijuan,walketa01,2013.0,18000000.0,Philadelphia,$18.000,False,18000000.0,True,True,False
49,6632,Carlos Carrasco,34,29,152.0,2.5,carrasco,carlos,carraca01,2009.0,14000000.0,NY Mets,FA,False,0.0,True,True,False
50,16256,Kyle Freeland,28,31,174.2,2.5,freeland,kyle,freelky01,2017.0,10500000.0,Colorado,$15.000,False,15000000.0,True,True,False
51,6893,Johnny Cueto,35,25,158.1,2.5,cueto,johnny,cuetojo01,2008.0,6000000.0,Miami,$2.500,False,2500000.0,True,True,False
52,12768,Sonny Gray,31,24,119.2,2.4,gray,sonny,grayso01,2013.0,13100000.0,Minnesota,,False,0.0,True,True,False
53,11674,Jameson Taillon,29,32,177.1,2.3,taillon,jameson,taillja01,2016.0,14000000.0,Chi Cubs,$18.000,False,18000000.0,True,True,False
