Name,WAR,shortName,SimplePosition
Nick Martinez,0.4,San Diego,Starter
Chris Stratton,0.7,St. Louis,Reliever
David Peralta,1.7,LA Dodgers,lf
Austin Barnes,1.4,LA Dodgers,c
Miguel Rojas,1.0,LA Dodgers,"1b,ss"
Daniel Vogelbach,1.4,NY Mets,
Luis Guillorme,1.3,NY Mets,"2b,3b,ss"
Omar Narvaez,1.1,NY Mets,c
Seranthony Dominguez,1.0,Philadelphia,Reliever
Andrew Bellatti,1.0,Philadelphia,Reliever
Craig Kimbrel,0.9,Philadelphia,Reliever
Yan Gomes,0.6,Chi Cubs,c
Adbert Alzolay,0.5,Chi Cubs,Starter
Kyle Hendricks,0.4,Chi Cubs,Starter
David Fletcher,0.7,LA Angels,"2b,ss"
Matt Moore,1.4,LA Angels,Starter
Orlando Arcia,0.7,Atlanta,"2b,lf"
Jesse Chavez,0.7,Atlanta,Reliever
Raimel Tapia,0.3,Boston,"lf,cf,rf"
Kevin Kiermaier,1.1,Toronto,cf
Adam Cimber,0.9,Toronto,Reliever
Yimi Garcia,0.9,Toronto,Reliever
Hoby Milner,0.7,Milwaukee,Reliever
Wade Miley,0.5,Milwaukee,Starter
Willi Castro,0.7,Minnesota,"2b,3b,ss,lf,cf,rf"
Donovan Solano,0.5,Minnesota,"1b,2b,3b"
Jorge Lopez,0.8,Minnesota,Reliever
Nathan Eovaldi,1.0,Texas,Starter
Giancarlo Stanton,1.2,NY Yankees,rf
Luis Severino,1.4,NY Yankees,Starter
Clay Holmes,1.1,NY Yankees,Reliever
Mike Clevinger,0.4,Chi White Sox,Starter
J.D. Davis,0.9,San Francisco,"1b,3b"
Taylor Rogers,1.0,San Francisco,Reliever
John Brebbia,0.9,San Francisco,Reliever
